#hand	exp	clip	envs
allegro_hand	ftnc	ketchup-30-130-s01-u01	12000
inspire_hand	ftnc	ketchup-30-130-s01-u01	12000
allegro_hand	ftnc	box-30-230-s01-u01	12000
inspire_hand	ftnc	box-30-230-s01-u01	12000
allegro_hand	ftnc	mixer-30-200-s01-u01	12000
inspire_hand	ftnc	mixer-30-200-s01-u01	12000
allegro_hand	ftnc	ketchup-40-340-s01-u02	12000
inspire_hand	ftnc	ketchup-40-340-s01-u02	12000
allegro_hand	ftnc	mixer-40-340-s01-u01	12000
inspire_hand	ftnc	mixer-40-340-s01-u01	12000
allegro_hand	ftnc	notebook-40-340-s02-u02	12000
inspire_hand	ftnc	notebook-40-340-s02-u02	12000
allegro_hand	ftnc	waffleiron-40-340-s01-u01	12000
inspire_hand	ftnc	waffleiron-40-340-s01-u01	12000
