#hand	exp	clip	envs
allegro_hand	graphnc	ketchup-30-130-s01-u01	12000
inspire_hand	graphnc	ketchup-30-130-s01-u01	12000
allegro_hand	graphnc	box-30-230-s01-u01	12000
inspire_hand	graphnc	box-30-230-s01-u01	12000
allegro_hand	graphnc	mixer-30-200-s01-u01	12000
inspire_hand	graphnc	mixer-30-200-s01-u01	12000
allegro_hand	graphnc	ketchup-40-340-s01-u02	12000
inspire_hand	graphnc	ketchup-40-340-s01-u02	12000
allegro_hand	graphnc	mixer-40-340-s01-u01	12000
inspire_hand	graphnc	mixer-40-340-s01-u01	12000
allegro_hand	graphnc	notebook-40-340-s02-u02	12000
inspire_hand	graphnc	notebook-40-340-s02-u02	12000
allegro_hand	graphnc	waffleiron-40-340-s01-u01	12000
inspire_hand	graphnc	waffleiron-40-340-s01-u01	12000
